task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	92/13c0ef	80931	publishOutputs (6)	COMPLETED	0	2021-11-23 19:34:04.704	2.5s	74ms	18.2%	2.8 MB	3.9 MB	65.8 KB	193 B
48	67/2df007	80926	prepStat (sub-invivo1_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:34:04.685	8.1s	5.9s	29.8%	109.5 MB	296.1 MB	56.9 MB	50.4 MB
49	74/f20da6	81034	publishStat (6)	COMPLETED	0	2021-11-23 19:34:13.793	70ms	0ms	-	-	-	-	-
7	2c/13a756	80243	preprocessMtsat (sub-invivo3_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:31:31.960	6m 25s	6m 21s	41.9%	166 MB	352 MB	89.4 MB	68.8 MB
50	65/b5f08e	81134	fitMtratio (sub-invivo3_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:37:58.441	20.6s	17.8s	23.0%	161.3 MB	379.3 MB	100.4 MB	73.8 MB
51	d6/21b457	81136	fitMtsat (sub-invivo3_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:37:58.451	36s	32.9s	29.8%	197.8 MB	414.8 MB	143.3 MB	113.3 MB
52	90/72be31	81225	publishOutputs (7)	COMPLETED	0	2021-11-23 19:38:35.452	2.1s	50ms	15.4%	0	0	65.8 KB	193 B
53	fe/c81039	81224	prepStat (sub-invivo3_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:38:35.446	8.9s	7.2s	24.3%	119.4 MB	306 MB	60.2 MB	51.9 MB
54	ad/404905	81340	publishStat (7)	COMPLETED	0	2021-11-23 19:38:45.303	73ms	0ms	-	-	-	-	-
8	13/200857	80525	preprocessMtsat (sub-invivo3_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:32:50.292	6m 15s	6m 12s	40.7%	169.8 MB	350.6 MB	33.2 MB	47.4 MB
9	88/ab8964	80656	preprocessMtsat (sub-invivo3_ses-rth750rev)	COMPLETED	0	2021-11-23 19:33:24.839	6m 3s	5m 58s	41.4%	160.1 MB	352.1 MB	89 MB	68.7 MB
55	da/fce4d2	81383	fitMtratio (sub-invivo3_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:39:05.127	30.9s	27.2s	18.5%	161.6 MB	379.3 MB	100.7 MB	73.8 MB
57	e6/0b9966	81516	fitMtratio (sub-invivo3_ses-rth750rev)	COMPLETED	0	2021-11-23 19:39:28.938	32.2s	28.8s	17.3%	161.6 MB	379.3 MB	100.2 MB	73.8 MB
56	df/9a1ec5	81385	fitMtsat (sub-invivo3_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:39:05.131	56.6s	53s	19.9%	197.5 MB	414.7 MB	95.9 MB	78.1 MB
59	48/fa272a	81630	publishOutputs (8)	COMPLETED	0	2021-11-23 19:40:02.777	2s	55ms	14.8%	0	0	65.8 KB	193 B
60	f4/8b0c89	81629	prepStat (sub-invivo3_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:40:02.772	8.4s	6.4s	24.4%	109.8 MB	296.1 MB	59.3 MB	51.8 MB
61	f0/1aa863	81735	publishStat (8)	COMPLETED	0	2021-11-23 19:40:12.182	75ms	0ms	-	-	-	-	-
58	6c/97b1c9	81517	fitMtsat (sub-invivo3_ses-rth750rev)	COMPLETED	0	2021-11-23 19:39:28.942	49.9s	46.4s	22.7%	197.6 MB	414.9 MB	142.7 MB	113 MB
62	36/396dec	81779	publishOutputs (9)	COMPLETED	0	2021-11-23 19:40:19.900	1.9s	49ms	12.1%	0	0	65.8 KB	193 B
63	ad/4ee962	81778	prepStat (sub-invivo3_ses-rth750rev)	COMPLETED	0	2021-11-23 19:40:19.895	7.6s	5.8s	28.4%	109.8 MB	296.1 MB	60.3 MB	52.3 MB
